dataset_id,random_forest,support_vector_machine,linear_models,xgboost,decision_tree
1464,0.7840905,0.772727,0.7713901871657753,0.772727,0.762032
1063,0.846743,0.840996,0.844828,0.844828,0.848659
40979,0.97325,0.98175,0.96175,0.974,0.86425
40984,0.938961038961039,0.9203463203463204,0.8584415584415584,0.9406926406926408,0.9205627705627706
40983,0.9832610043397396,0.9871874354205414,0.9676586071502375,0.9845009299442034,0.9788179375904114
40923,0.8564565217391304,0.9069510869565218,0.6357000031786589,0.4973004425086276,0.5993423913043479
1462,0.991254,1.0,0.9810497813411078,0.988338,0.895408
151,0.9171301200564972,0.8017191913841808,0.7561245,0.8853725,0.757393
1510,0.959578,0.977153,0.977153,0.9595781036906854,0.9200353804920914
54,0.7494089834515366,0.8268321513002364,0.7907801418439716,0.6317966903073287,0.7234042553191489
38,0.986744432661718,0.9717656415694592,0.9578475,0.9619565217391304,0.988865323435843
40668,0.8265612741832822,0.7984590789999556,0.7577305090516157,0.6984324348328079,0.7726734461269742
6,0.957375,0.97755,0.7227,0.5911249999999999,0.8817999999999999
31,0.7665,0.7505,0.754,0.758,0.7
37,0.7721352083333334,0.773438,0.777343875,0.770833,0.7415365
40499,0.9723636363636364,0.9985454545454546,0.9970909090909092,0.8056363636363637,0.9240000000000002
6332,0.8175925925925926,0.8064814814814816,0.7592592592592592,0.8481481481481481,0.7231481481481481
300,0.9450429652430422,0.970950365525202,0.9566499935872772,0.8619982044376042,0.8223675772733102
307,0.9676767676767676,0.9949494949494948,0.6484848484848484,0.4858585858585859,0.7338383838383837
23,0.5624575695858791,0.5237610319076714,0.5142564745417515,0.5441276306856755,0.5451460936863544
12,0.96475,0.98025,0.97975,0.919,0.87825
15,0.9713876967095852,0.9678111587982832,0.965665236051502,0.9620886981402004,0.944206008583691
46,0.9600313479623824,0.9642633228840124,0.9587774294670846,0.9409090909090908,0.9418495297805642
188,0.6752717391304348,0.6548913043478262,0.6195652173913044,0.6005434782608696,0.6256793478260869
23381,0.63,0.607,0.634,0.583,0.632
14,0.84375,0.84375,0.8292499999999999,0.74425,0.76125
22,0.7605,0.84875,0.82525,0.7285,0.68825
1485,0.8598076153846155,0.5884615384615385,0.595,0.705,0.7659615384615385
1478,0.9791727352170114,0.9866006408389164,0.9849499951451596,0.9409651422468202,0.9421303039130012
4534,0.9607871693803708,0.9717322478516508,0.9390322412935324,0.9749434644957032,0.888919
4134,0.8079178885630498,0.7604638762996534,0.7715275926419622,0.798987,0.73687
40996,0.87435,0.8811142857142857,0.8483785714285714,0.9013428571428572,0.7988142857142857
1049,0.906722,0.911523,0.908436,0.910837,0.877915
40701,0.9549,0.9326,0.8636,0.9588,0.8698
